time [ms], AccX [g], AccY [g], AccZ [g], GyroX [deg/s], GyroY [deg/s], GyroZ [deg/s]
118838,1.06,-0.02,-0.05,0.12,-0.18,0.03
118841,1.22,-0.02,-0.08,-35.33,33.98,-101.46
118844,1.23,-0.02,-0.08,-36.66,43.53,-110.74
118847,1.23,-0.01,-0.09,-36.05,51.31,-119.38
118850,1.24,-0.00,-0.08,-34.96,58.30,-127.82
118854,1.24,-0.01,-0.07,-33.12,64.99,-138.83
118857,1.23,0.00,-0.04,-30.73,69.04,-151.81
118860,1.25,0.01,-0.06,-28.89,72.75,-161.91
118863,1.24,0.02,-0.08,-28.11,78.59,-171.36
118866,1.24,0.04,-0.08,-27.71,84.85,-176.62
118870,1.24,0.07,-0.05,-28.80,91.13,-178.57
118873,1.23,0.10,-0.06,-29.65,95.48,-176.48
118876,1.23,0.11,-0.04,-30.84,99.13,-171.70
118879,1.22,0.13,-0.04,-32.44,102.20,-164.52
118882,1.22,0.16,-0.04,-33.64,106.82,-155.50
118885,1.21,0.17,-0.03,-35.73,110.46,-143.81
118888,1.20,0.20,-0.05,-37.10,115.33,-130.65
118891,1.20,0.21,-0.04,-38.54,120.82,-116.01
118894,1.17,0.22,-0.03,-39.62,124.79,-100.14
118897,1.16,0.23,-0.02,-41.73,126.99,-84.04
118900,1.17,0.23,-0.02,-43.62,129.65,-68.14
118905,1.15,0.20,0.00,-46.61,130.14,-48.01
118908,1.15,0.20,0.02,-49.10,129.68,-33.75
118911,1.15,0.18,0.04,-50.64,128.38,-20.89
118914,1.15,0.17,0.04,-50.37,127.79,-8.88
118917,1.17,0.15,0.04,-49.51,126.92,2.25
118920,1.18,0.14,0.03,-48.14,127.22,11.78
118923,1.18,0.12,0.01,-46.58,128.24,20.39
118926,1.19,0.09,-0.00,-44.70,130.09,27.89
118929,1.19,0.09,-0.02,-42.52,132.53,34.10
118932,1.18,0.06,-0.02,-39.89,136.08,39.78
118935,1.18,0.06,-0.03,-37.12,140.08,45.09
118938,1.18,0.05,-0.04,-34.05,145.86,49.99
118942,1.18,0.05,-0.04,-30.12,156.84,55.43
118945,1.18,0.04,-0.03,-27.30,164.59,58.39
118948,1.18,0.04,-0.01,-24.34,170.88,61.45
118951,1.15,0.04,0.03,-20.20,176.27,64.09
118954,1.14,0.05,0.08,-15.33,178.26,65.92
118957,1.11,0.06,0.12,-10.57,177.39,67.29
118960,1.11,0.08,0.14,-5.24,174.55,68.96
118963,1.11,0.09,0.12,-0.49,174.18,69.26
118966,1.13,0.12,0.09,3.46,177.95,69.72
118969,1.13,0.11,0.08,6.69,184.92,68.90
118972,1.13,0.10,0.06,10.93,196.92,66.54
118976,1.15,0.07,0.07,15.54,208.67,63.09
118980,1.17,0.05,0.09,22.65,226.79,53.64
118983,1.18,0.04,0.12,27.24,239.11,44.38
118986,1.19,0.03,0.12,32.46,252.46,34.06
118989,1.20,0.03,0.15,36.09,266.52,23.17
118992,1.20,0.03,0.16,38.52,280.08,11.96
